Time Ia Ib Ic Ia Ib Ic
0.0010300000000000021 8.3275608631083742e-06 -2.1799451133119874e-05 1.3486101124726702e-05 8.3275608631083742e-06 -2.1799451133119874e-05 1.3486101124726702e-05
0.0010400000000000021 8.3986151366843842e-06 -2.1799451133119874e-05 1.3415046851150692e-05 8.3986151366843842e-06 -2.1799451133119874e-05 1.3415046851150692e-05
0.0010500000000000021 8.4696694102603942e-06 -2.1813661987835076e-05 1.3329781722859479e-05 8.4696694102603942e-06 -2.1813661987835076e-05 1.3329781722859479e-05
0.0010600000000000021 8.5691453932668082e-06 -2.1827872842550278e-05 1.3272938303998671e-05 8.5691453932668082e-06 -2.1827872842550278e-05 1.3272938303998671e-05
0.0010700000000000022 8.6259888121276163e-06 -2.1827872842550278e-05 1.3216094885137863e-05 8.6259888121276163e-06 -2.1827872842550278e-05 1.3216094885137863e-05
0.0010800000000000022 8.7183593677764293e-06 -2.1856294551980682e-05 1.3145040611561853e-05 8.7183593677764293e-06 -2.1856294551980682e-05 1.3145040611561853e-05
0.0010900000000000022 8.7965190687100403e-06 -2.1870505406695884e-05 1.3081091765343444e-05 8.7965190687100403e-06 -2.1870505406695884e-05 1.3081091765343444e-05
0.0011000000000000022 8.8604679149284493e-06 -2.1870505406695884e-05 1.3010037491767434e-05 8.8604679149284493e-06 -2.1870505406695884e-05 1.3010037491767434e-05
0.0011100000000000023 8.9386276158620603e-06 -2.1884716261411086e-05 1.2938983218191424e-05 8.9386276158620603e-06 -2.1884716261411086e-05 1.2938983218191424e-05
0.0011200000000000023 9.0167873167956714e-06 -2.1884716261411086e-05 1.2882139799330616e-05 9.0167873167956714e-06 -2.1884716261411086e-05 1.2882139799330616e-05
0.0011300000000000023 9.0949470177292824e-06 -2.1898927116126288e-05 1.2803980098397005e-05 9.0949470177292824e-06 -2.1898927116126288e-05 1.2803980098397005e-05
0.0011400000000000023 9.1660012913052924e-06 -2.191313797084149e-05 1.2740031252178596e-05 9.1660012913052924e-06 -2.191313797084149e-05 1.2740031252178596e-05
0.0011500000000000024 9.2299501375237014e-06 -2.1898927116126288e-05 1.2668976978602586e-05 9.2299501375237014e-06 -2.1898927116126288e-05 1.2668976978602586e-05
0.0011600000000000024 9.3152152658149134e-06 -2.191313797084149e-05 1.2597922705026576e-05 9.3152152658149134e-06 -2.191313797084149e-05 1.2597922705026576e-05
0.0011700000000000024 9.3862695393909235e-06 -2.1927348825556692e-05 1.2526868431450566e-05 9.3862695393909235e-06 -2.1927348825556692e-05 1.2526868431450566e-05
0.0011800000000000024 9.4573238129669335e-06 -2.191313797084149e-05 1.2470025012589758e-05 9.4573238129669335e-06 -2.191313797084149e-05 1.2470025012589758e-05
0.0011900000000000025 9.5283780865429435e-06 -2.1941559680271894e-05 1.2391865311656147e-05 9.5283780865429435e-06 -2.1941559680271894e-05 1.2391865311656147e-05
0.0012000000000000025 9.6136432148341555e-06 -2.1941559680271894e-05 1.2335021892795339e-05 9.6136432148341555e-06 -2.1941559680271894e-05 1.2335021892795339e-05
0.0012100000000000025 9.6846974884101655e-06 -2.1955770534987096e-05 1.2256862191861728e-05 9.6846974884101655e-06 -2.1955770534987096e-05 1.2256862191861728e-05
0.0012200000000000025 9.7628571893437766e-06 -2.1955770534987096e-05 1.2185807918285718e-05 9.7628571893437766e-06 -2.1955770534987096e-05 1.2185807918285718e-05
0.0012300000000000026 9.8481223176349886e-06 -2.1969981389702298e-05 1.212896449942491e-05 9.8481223176349886e-06 -2.1969981389702298e-05 1.212896449942491e-05
0.0012400000000000026 9.9120711638533976e-06 -2.1969981389702298e-05 1.20579102258489e-05 9.9120711638533976e-06 -2.1969981389702298e-05 1.20579102258489e-05
0.0012500000000000026 9.9831254374294076e-06 -2.1969981389702298e-05 1.198685595227289e-05 9.9831254374294076e-06 -2.1969981389702298e-05 1.198685595227289e-05
0.0012600000000000027 1.0061285138363019e-05 -2.19841922444175e-05 1.1908696251339279e-05 1.0061285138363019e-05 -2.19841922444175e-05 1.1908696251339279e-05
0.0012700000000000027 1.0125233984581428e-05 -2.1969981389702298e-05 1.184474740512087e-05 1.0125233984581428e-05 -2.1969981389702298e-05 1.184474740512087e-05
0.0012800000000000027 1.0217604540230241e-05 -2.19841922444175e-05 1.177369313154486e-05 1.0217604540230241e-05 -2.19841922444175e-05 1.177369313154486e-05
0.0012900000000000027 1.0274447959091049e-05 -2.19841922444175e-05 1.170263885796885e-05 1.0274447959091049e-05 -2.19841922444175e-05 1.170263885796885e-05
0.0013000000000000028 1.0345502232667059e-05 -2.19841922444175e-05 1.1638690011750441e-05 1.0345502232667059e-05 -2.19841922444175e-05 1.1638690011750441e-05
0.0013100000000000028 1.0430767360958271e-05 -2.1998403099132702e-05 1.156053031081683e-05 1.0430767360958271e-05 -2.1998403099132702e-05 1.156053031081683e-05
0.0013200000000000028 1.0508927061891882e-05 -2.1998403099132702e-05 1.148947603724082e-05 1.0508927061891882e-05 -2.1998403099132702e-05 1.148947603724082e-05
0.0013300000000000028 1.0558665053395089e-05 -2.19841922444175e-05 1.141842176366481e-05 1.0558665053395089e-05 -2.19841922444175e-05 1.141842176366481e-05
0.0013400000000000029 1.0651035609043902e-05 -2.1998403099132702e-05 1.1354472917446401e-05 1.0651035609043902e-05 -2.1998403099132702e-05 1.1354472917446401e-05
0.0013500000000000029 1.0714984455262311e-05 -2.1998403099132702e-05 1.1283418643870391e-05 1.0714984455262311e-05 -2.1998403099132702e-05 1.1283418643870391e-05
0.0013600000000000029 1.0793144156195922e-05 -2.2012613953847904e-05 1.120525894293678e-05 1.0793144156195922e-05 -2.2012613953847904e-05 1.120525894293678e-05
0.0013700000000000029 1.0857093002414331e-05 -2.1998403099132702e-05 1.1127099242003169e-05 1.0857093002414331e-05 -2.1998403099132702e-05 1.1127099242003169e-05
0.001380000000000003 1.0928147275990341e-05 -2.1998403099132702e-05 1.106315039578476e-05 1.0928147275990341e-05 -2.1998403099132702e-05 1.106315039578476e-05
0.001390000000000003 3.3011815503414255e-05 -3.2997604648699053e-05 -1.4210854715202004e-08 3.3011815503414255e-05 -3.2997604648699053e-05 -1.4210854715202004e-08
0.001400000000000003 3.3224978324142285e-05 -3.3082869776990265e-05 -1.5631940186722204e-07 3.3224978324142285e-05 -3.3082869776990265e-05 -1.5631940186722204e-07
0.001410000000000003 3.3438141144870315e-05 -3.3139713195851073e-05 -3.1263880373444408e-07 3.3438141144870315e-05 -3.3139713195851073e-05 -3.1263880373444408e-07
0.0014200000000000031 3.3665514820313547e-05 -3.3210767469427083e-05 -4.4053649617126212e-07 3.3665514820313547e-05 -3.3210767469427083e-05 -4.4053649617126212e-07
0.0014300000000000031 3.3864466786326375e-05 -3.3281821743003093e-05 -5.8264504332328215e-07 3.3864466786326375e-05 -3.3281821743003093e-05 -5.8264504332328215e-07
0.0014400000000000031 3.4077629607054405e-05 -3.3367086871294305e-05 -7.3896444519050419e-07 3.4077629607054405e-05 -3.3367086871294305e-05 -7.3896444519050419e-07
0.0014500000000000032 3.4305003282497637e-05 -3.3423930290155113e-05 -8.6686213762732223e-07 3.4305003282497637e-05 -3.3423930290155113e-05 -8.6686213762732223e-07
0.0014600000000000032 3.4489744393795263e-05 -3.3494984563731123e-05 -1.0231815394945443e-06 3.4489744393795263e-05 -3.3494984563731123e-05 -1.0231815394945443e-06
0.0014700000000000032 3.4731328923953697e-05 -3.3566038837307133e-05 -1.1510792319313623e-06 3.4731328923953697e-05 -3.3566038837307133e-05 -1.1510792319313623e-06
0.0014800000000000032 3.4916070035251323e-05 -3.3622882256167941e-05 -1.3073986337985843e-06 3.4916070035251323e-05 -3.3622882256167941e-05 -1.3073986337985843e-06
0.0014900000000000033 3.5143443710694555e-05 -3.3708147384459153e-05 -1.4495071809506044e-06 3.5143443710694555e-05 -3.3708147384459153e-05 -1.4495071809506044e-06
0.0015000000000000033 3.5342395676707383e-05 -3.3764990803319961e-05 -1.5774048733874224e-06 3.5342395676707383e-05 -3.3764990803319961e-05 -1.5774048733874224e-06
0.0015100000000000033 3.5555558497435413e-05 -3.3836045076895971e-05 -1.7337242752546445e-06 3.5555558497435413e-05 -3.3836045076895971e-05 -1.7337242752546445e-06
0.0015200000000000033 3.5782932172878645e-05 -3.3907099350471981e-05 -1.8758328224066645e-06 3.5782932172878645e-05 -3.3907099350471981e-05 -1.8758328224066645e-06
0.0015300000000000034 3.5981884138891473e-05 -3.3963942769332789e-05 -2.0321522242738865e-06 3.5981884138891473e-05 -3.3963942769332789e-05 -2.0321522242738865e-06
0.0015400000000000034 3.6180836104904301e-05 -3.4034997042908799e-05 -2.1600499167107046e-06 3.6180836104904301e-05 -3.4034997042908799e-05 -2.1600499167107046e-06
0.0015500000000000034 3.6393998925632332e-05 -3.4091840461769607e-05 -2.3021584638627246e-06 3.6393998925632332e-05 -3.4091840461769607e-05 -2.3021584638627246e-06
0.0015600000000000034 3.659295089164516e-05 -3.4162894735345617e-05 -2.4584778657299466e-06 3.659295089164516e-05 -3.4162894735345617e-05 -2.4584778657299466e-06
0.0015700000000000035 3.680611371237319e-05 -3.4219738154206425e-05 -2.5934809855243657e-06 3.680611371237319e-05 -3.4219738154206425e-05 -2.5934809855243657e-06
0.0015800000000000035 3.701927653310122e-05 -3.4290792427782435e-05 -2.7426949600339867e-06 3.701927653310122e-05 -3.4290792427782435e-05 -2.7426949600339867e-06
0.0015900000000000035 3.7218228499114048e-05 -3.4347635846643243e-05 -2.8776980798284058e-06 3.7218228499114048e-05 -3.4347635846643243e-05 -2.8776980798284058e-06
0.0016000000000000035 3.7417180465126876e-05 -3.4404479265504051e-05 -3.0269120543380268e-06 3.7417180465126876e-05 -3.4404479265504051e-05 -3.0269120543380268e-06
0.0016100000000000036 3.7644554140570108e-05 -3.4461322684364859e-05 -3.1619151741324458e-06 3.7644554140570108e-05 -3.4461322684364859e-05 -3.1619151741324458e-06
